Harga,Perubahan,Tanggal
2.517.000,-6.000,1 Sep 2026
2.477.000,-40.000,2 Sep 2026
2.492.000,15.000,4 Sep 2026
2.493.000,-30.000,5 Sep 2026
2.493.000,0,6 Sep 2026
2.493.000,0,7 Sep 2026
2.480.000,-10.000,8 Sep 2026
2.460.000,-20.000,9 Sep 2026
2.475.000,15.000,10 Sep 2026
2.475.000,15.000,11 Sep 2026
2.450.000,-25.000,12 Sep 2026
2.454.000,0,13 Sep 2026
2.452.000,-2.000,14 Sep 2026
2.437.000,-15.000,15 Sep 2026
2.438.000,1.000,16 Sep 2026
2.438.000,0,17 Sep 2026
2.438.000,0,18 Sep 2026
2.473.000,15.000,19 Sep 2026
2.473.000,0,20 Sep 2026
2.463.000,-10.000,21 Sep 2026
2.462.000,-1.000,22 Sep 2026
2.465.000,3.000,23 Sep 2026
2.435.000,-30.000,24 Sep 2026
2.415.000,-20.000,25 Sep 2026
