Harga,Perubahan,Tanggal
2.589.000,40.000,1 May 2026
2.586.000,-3.000,2 May 2026
2.586.000,0,3 May 2026
2.586.000,0,4 May 2026
2.585.000,-1.000,4 May 2026
2.545.000,-40.000,5 May 2026
2.545.000,-40.000,5 May 2026
2.580.000,35.000,6 May 2026
2.645.000,20.000,7 May 2026
2.645.000,20.000,7 May 2026
2.644.000,-1.000,8 May 2026
2.644.000,0,9 May 2026
2.644.000,0,10 May 2026
2.626.000,-18.000,11 May 2026
2.676.000,50.000,12 May 2026
2.656.000,-20.000,13 May 2026
2.656.000,0,14 May 2026
2.636.000,-20.000,15 May 2026
2.576.000,-60.000,16 May 2026
2.576.000,0,17 May 2026
2.569.000,-7.000,18 May 2026
2.594.000,25.000,19 May 2026
